user,date,eval,star,votes,content
Mr. Infamous,2019-01-08,推荐,4,211,世所不容这四个字，降到殊途同归者身上，格外凄绝又格外悲壮。白蛇委身的男人，这回多了一份灯蛾扑火的奋勇，也多了一份拨云见月的智慧。就像是杨过与小龙女，不仅是改写了世俗的不公，而且是赢取了彼此的平等。所以见惯两腿恶人后的许宣，能说多一条尾巴又怎样，所以感受过大爱无疆的小白，也能说弃掉千年修行又如何。浮生掠过，还是只记那点温存，无论几世何年，尚有断桥在。这样旧瓶新酒的故事，追光从画面与质感上都展现得太惊艳。再打磨下，大有可期。
海角七号,2019-01-13,较差,2,163,八分是认真的么？？逻辑不通，剧情老套，感情空洞……还有，能不能给女性角色穿条裤子换掉鞋拖！
kakakarl,2019-01-08,推荐,4,214,蛇能有多冷血，睡完许宣马上就说恩断义绝再也不见！纯正的中国风，掺杂着水墨和写意，阴阳五行奇门遁甲，形象和技术还是一如既往地好，在大银幕看见国产动画的吻戏和床戏，虽然故事里还是有不足，但是拍前史比翻拍正统《白蛇传》靠谱，最后还有一些点到即止的致敬，2D上映，也没用3D骗钱，是追光动画最好的一次！
贡丸猩猩,2019-01-08,较差,2,140,披着白蛇设定的打怪片，最后还要强扭到正传。小时候看白娘子传奇，白蛇是一个智慧，勇气，敢于反抗传统的充满魅力的女性角色；但9012年了，白蛇却变为一个完全被动的被拯救的女性角色，可悲哦…
极圈里的燕鱼,2019-01-06,推荐,4,188,既然是成人向作品，剧情也不该这么简单幼稚。还有什么轮回转世得道修仙这些廉价的页游网文不离口的台词极大弱化了视觉营造出的史诗感。画面质感和人物动作在细腻和生硬之间不时切换。不过法术过招的视觉特效真的很赞，尤其是国师布阵大战众妖的戏份，很过瘾，很有想象力，也很有视觉冲击力，甚至让我想到《最后的守护者》中对于艾格文屠魔的描写。在这个廉价3D横行影院的年代，很纳闷为什么有些理应强化震撼力的作品却选择2D，就冲打斗场面的视觉特效，我觉得去看不亏。
朝阳区陆依萍,2019-01-15,较差,2,116,哈哈，约P就约P，约出感情那可还行...
Jorrow,2019-01-08,较差,2,113,国产动画里的超级大片，可惜电影基本也只有白花花的大腿，万万没想到国产动画成人化到都有云雨部分了。技术跟故事始终此长彼短，情节的转变甚至人物的出场非常仓促突然。
团小纸,2019-01-11,还行,3,135,追光的技术已经很好了，就差一个好编剧……
空灵赌徒,2019-01-03,很差,1,114,诶哟 当看到四足三头鸟出现我就对本片毫无期待了 这个审美呀 真的是 花花绿绿的特效 实在太浮夸了 最后什么乱七八糟的渲染气氛 看的头疼
Oracle,2019-01-10,还行,3,126,片尾曲响起之前，我从未想过这首旋律如此熟悉的歌曲可以有如此力挽狂澜的功效
珠珠侠,2019-01-03,推荐,4,118,故事讲述了白蛇在西湖断桥与许仙一见钟情的前世因缘。动画风格唯美浪漫，有黑白的水墨画风格，又有奇特诡异的妖魔风格。作为动画片的标配，片中的小狗狗给本片带来了很多欢声笑语。本片集爱情与魔幻为一体，颇有徐老怪版狄仁杰以及倩女幽魂的神韵。
如墨画卷,2019-01-05,力荐,5,144,唯美的风格、黑白水墨风的影像、浪漫的故事，将白蛇与许仙的美好爱情得以近乎完美的诠释；影片以人与妖如何共存为核心，以善恶的命题为起始点，以此来诠释许仙与白蛇之间的前世姻缘。与此同时，片中关于五行与古乐的“描写”，更是将“前世今生”这个命题描绘的淋漓尽致。
不良生,2019-01-12,还行,3,76,我决定再去看十遍《新白娘子传奇》。
武侠小王子,2019-01-12,推荐,4,118,我想拜那位蒙面小道士为师，不知道有什么渠道吗？
猛汉世雄,2019-01-13,还行,3,85,各方面来说都好土啊，我国动画电影的特色，土
齐雨,2019-01-08,推荐,4,107,一时欢情，我记了五百年。知道为什么吗？因为和一切永恒相比，转瞬即逝的永远最美好。
掉线,2019-01-17,还行,3,66,【C+】徐克+仙剑奇侠传，电影不差，但国漫崛起了吗？没有的。经过数年，国产动画已基本解决态度差，制作糙，取向价值低幼等问题。真正摆在他们面前的桎梏，是“写出属于动画的剧本”，而不是讲一个用真人形式也能拍摄的故事。动画的意义不是给剧作潦草遮羞，而是为了去展现想象力与现实世界无法实现的东西，等华语动画人能普遍有这层意识，国产动画才真正有赶日超美的可能。
冰镇西瓜橘子水,2019-01-09,推荐,4,102,和风语咒一样的毛病 结尾大战缺经费匆匆结束 但是风景很美 中间一段青白二蛇斗小道士的打斗很惊艳 还有白娘子也太美了 全程看脸 四星鼓励
宇航员,2019-01-11,力荐,5,130,同为动漫行业工作者，点映的人不多，个人观影可能更多关注了技术层面，我觉得做的很好，瑕疵肯定是有的，不过整体瑕不掩瑜。画面唯美，国风浓郁，配乐剧情合格，多一些鼓励，希望可以越做越好，我在思考动漫对于除开行业内和热爱者的观众的接受度和观影时侧重点的不同。
废铁城的小月亮,2019-01-10,推荐,4,82,居然是和华纳合拍，制作中方为主，很惊喜！王总放弃搞创作之后，追光原本就很厉害的技术助力整片水平腾飞，从小门神开始的粒子旋转大法到这一部已经用到了出神入化的地步2333唯一希望更进一步的就是完全原创能达到这次的水准吧～最后，两口子谈恋爱的时候请多关爱一下旁边的单身狗，不然ta下辈子可能会变成你们的姐夫……（姐姐做错了什么！）推荐观影，期待追光的下一部作品～
Panda的阴影,2019-01-08,还行,3,46,还想着追光和华纳合拍，兴许能改良《小门神》《阿唐奇遇》《猫与桃花源》诸如「人物台词嘴型对不上、动作力度有欠缺、形象设计欠佳（大部分蛇妖真是欣赏无力）……」等问题，结果老毛病一如既往地延续下来，我也是醉了。当然可圈可点的背景制作也得到传承（部分蛮有中国风的空镜挺美轮美奂的）。至于故事，这个追光动画的短板，真是一而再再而三地不满意。每次都3.5星鼓励，结果至今都没质的改善。
丸秋,2019-01-10,还行,3,68,宝青坊好评，狐妖太酷了。整个剧本都欠打磨，转合没一个不生硬的，狗可能是从《花木兰》小龙那里照搬过来的。许宣有屌癌，自大狂。
叶随霓,2019-01-09,很差,1,44,身体和五官比例严重失调，因为是妖怪，所以不会捏脸么？光是看图就吓死了，都不敢看剧情了。
Sherlock,2019-01-04,推荐,4,60,很惊喜！观影过程中一直在默默计算，关于剧情的设计都经得起检验，关于想象力也有足够的展现。缺点大概是：价值的变化不够详细，人与妖的感情应该冲破些什么、牺牲掉什么，人与妖能否、如何和谐共存；一些人和物件的设定不够详细，玉钗的功能应该细化一点，男主中的蝙蝠，会说话的狗和地下的符文等应该承受更多的功能；还有就是关于中国风的老问题，但已经无需苛求太多。最后的大战的缘起逻辑有点弱，但三层的节奏都非常精彩——在很多商业片里都没见到。现在能做出给人留下印象的人物的不多，而本片却产出了人气角色：坊主的香艳，真是非同一般。
末路狂花。,2019-01-11,还行,3,46,画面还行，剧情以及人物塑造差强人意，没什么打动人心的情节和细节，如果不是贴了个国产动画的标签，平庸得让人过目就忘。
LOD,2019-01-11,推荐,4,61,画面非常棒，人设也很喜欢，女主很漂亮，结尾桥上回眸最惊艳，肚兜这个单身狗也很有意思，最有特色的还是宝青坊的狐妖，诡异的萌感，激情床戏我个人觉得是很唯美啦。中间两条蛇和小道士的打戏其实比后期大蛇那段更精彩，看的更爽，音乐也是很棒的，还勾起经典回忆，周深的那首也很好听，之前听到才决定去看的。说说缺陷，男主完美的像个神，抗揍痴情懂得多，可惜长得不够苏，转世成许仙还顺眼一丢丢；反派太单薄太弱了，设定感觉也讲的不是很清楚，还有那个钗的具体作用也迷迷糊糊的，是连带魂魄记忆一起封印了？
mua,2019-01-11,较差,2,58,友情提醒，女生不要和自己的女性朋友去看。
恶魔的步调,2019-01-11,推荐,4,33,灭霸，你是不是窜场了啊？
再见列宁,2019-01-14,较差,2,48,感觉前一大半就是“咱们随便拍拍就好结尾震他们一下”，背靠知晓度如此之高的底本，前传的设定也给了足够的空间，你就拍了这？？？无限想念并期待《大护法2》
MrZhai,2019-01-12,还行,3,56,讲真，制作人是不是腿控？恋足癖？
天堂电影院,2019-01-11,力荐,5,57,视觉盛宴，惊为天人啊，这才是国漫啊，一直在进步的国漫啊，给100颗星都不足以表达对国漫雄起的激动，追光人加油啊！
范克里夫大尉,2019-01-13,力荐,5,32,真心好看到炸裂，完全没尿点，斗法的场面牛逼疯了。希望多给排片啊……另外片尾彩蛋别错过，很重要。（求出老妖和狐狸精的手办啊）
阿伦和饭师傅,2019-01-03,推荐,4,51,虽然桥段俗套，但挺好看。 挺标准的商业片。
萍水相逢,2019-01-11,还行,3,45,光天化日就这么来了？上一秒刚上床下一秒就翻脸？画面是真美，就是人物表情眼神跟傀儡一样空洞
Leediudiu,2019-01-13,力荐,5,50,结尾大战稍微有点崩，但是不影响热泪盈眶加5分啊，结尾曲旋律想起来的时候，我这个80后大叔又泪目了
星野流魂,2019-01-09,力荐,5,55,这个结尾真的漂亮，轮回的故事总是那么富有情感的张力
二火山,2019-01-09,还行,3,41,【两星半】追光的技术依旧是目前国内三维动画里顶尖的，这次讲故事的水平从小学提升到了初中，节奏上相对顺畅了不少，文本却选择了地摊散文体，最关键的人物转变和感情递进，基本没一处能做到位，用动作场面强撑，结尾大战也看不到什么惊喜，都是徐克的影子。直到最后「新白」里那首「前世今生」的前奏响起，才被瞬间感动，可这跟你电影没关系啊，是人左宏元的功劳。虽没像「风语咒」那样为我所用得过分，也有很明显对「天龙八部」和「泰坦尼克号」的临摹（还有点「毒液」的痕迹）。中间那段脱衣露背云雨之事带给观众的尴尬，恰恰暴露了追光核心团队对成人向理解的肤浅，还以为大众的审美停留在93年看「新白娘子传奇」的年代吗？
Pronoia,2019-01-12,较差,2,26,我略蠢 我佩服我自己
萨库拉,2019-01-14,推荐,4,24,除了男主很像林更新女主很像杨颖，其他都超出预期。万万没想到是谍影重重加倩女幽魂加千与千寻再加仙剑，对《新白》也很聪明地致了敬，最后断桥上《前世今生》响起时简直哭出来。就是对少年之爱无法免疫。
次等水货,2019-01-11,还行,3,32,不如预期，开场几句对话、一个道具、男主的名字第一次被叫起就能猜到结局的样貌了。结局在一开场就被参透也没啥，那看过程好了，却明显能感到这个故事开发的痕迹，仿佛创作者们凑在一起头脑风暴一番，说要有这个要有那个，然后由编剧串起来填充一下台词，完了就开始制作，结果却让人感觉这个故事散发不出活力。且它没有大的世界观，很多桥段都有别人的影子，应该是从《哈利·波特》、《天龙八部》、《青蛇》等作品中汲取过营养。
肖恩恩恩恩肖,2019-01-14,推荐,4,19,确实超出预期了。虽然问题还是不少，比如结尾煽情太刻意，足足让主角哭了五分钟。白蛇的配音太做作，明明御姐人设，却很爱哼哼唧唧。但是故事讲这么顺实在难得，加上头一次在电影院看到动画角色的床戏真是震撼。一句话：女主角长得像杨超越的动画片运气不会太差。
汪金卫,2019-01-14,较差,2,30,动画技术方面，场景空间模型非常精致，水火效果和动物道具模型也都不错。相比之下人物角色建模就太差了，男女主造型和十几年前的国产游戏CG动画相当。尤其是毫无肉感的皮肤、面瘫表情脸与轻飘飘的重量质感，导致动作戏也显得略假，让人很出戏。距离外国动画团队差距还很大。剧情方面也较薄弱，架空历史讲玄幻，宝青坊主设定太奇怪。不是增加一场露背床戏就是成人向了。两星半
谢谢你们的鱼,2019-01-11,推荐,4,37,“人间多的是长着两条腿的恶人，长条尾巴怎么了。”真的是没有白喜欢追光之前的作品，在修补了之前的很多的创作缺陷之后，我还是第一次看到一部把画面美学和故事美感结合得如此出色的国产动画，而且还真的是实打实的成人动画，小白真的是性感，吼吼吼～当然，故事不像《白蛇传》，倒是更像是失忆版的《倩女幽魂》。
高等游民阿朽,2019-01-08,还行,3,22,看的点映，画面算是比之前追光动画有了明显提高，但是故事可真是一如既往无趣了。继续鼓励，期待再进步。
路易思,2019-01-16,力荐,5,23,白蛇这是赤裸裸的骗炮……
思路乐,2019-01-12,还行,3,22,我算是明白国漫现在到底尴尬在哪儿了，就是他们糟糕的市场定位。作为一部动画电影无论如何首选受众目标肯定是儿童，但本片的主题“爱情”却并不是那么令人好接受，况且主创还加入了不少恶趣味和少儿不宜画面，这就导致本片不是那么能让孩子在电影院看的高兴。另一方面，故事上由于时长所限，导致叙事节奏太快，有很多人物性格的转变实在太难以令人信服，这就造成了一种电影与观众的隔阂感，这也让电影无法有足够的吸引力去让成年观众买票。这样“高不成低不就”的尴尬定位导致本片很难在商业上获得成功。唉，没办法，国漫目前还是只能缓慢的螺旋上升发展。
哪吒男,2019-01-19,较差,2,15,还是中美合作道行深，《大护法》可不敢骂“共享共有”，就差骂共X了。
OCT IO≯,2019-01-12,推荐,4,36,追光已经达到了故事能'想到'，技术能'做到'的程度，这些年的积淀以及持之不懈的尝试终究没有错付！不单单只是贩卖情怀，而是有一个足够真诚且动人的故事！致敬的段落不发尬，点到为止恰到好处算是惊喜…打斗戏的镜头调度和橘子社有一拼，但人物情感刻画和面部细节的处理还有很大的提升空间，黑屏切够多够硬，情节的推进和转折亟待编排优化，瑕不掩瑜、希望这些问题能在续集中能得到改善（学日漫乱加杀必死的毛病也得改！）……国产动画不易，总的来说达到并超出预期，起码甩出之前号称国漫之光的“三大”（《大鱼》《大圣》《大法》）一大截……多半星鼓励之！
甘豆腐,2019-01-12,推荐,4,45,"看之前：预告片演的都是啥玩意儿啊！追光到底想不想在圈内混啦净瞎几把乱改！人物怎么这么丑啊！不看不看！


看之后：真香。。。"
元宵,2019-01-15,很差,1,18,打着《新白娘子传奇》IP蹭热度的作品太多了，这个其中算一个，没有官方授权
寒枝雀静,2019-01-19,还行,3,9,D / 剧作其实一直缺少一个足够有内聚力的主轴，导致文本上种族、爱情、生死、记忆等等都有种穿插乱飞的混杂感，缺少主题上的纵深递进。情感线的律动也因为奇观展示的需求被遮蔽掉不少。当然最大的bug还是一个女性叙述的回忆却暴露出过度男性向的趋势，所谓成人动画大概还是偷换了性别主语的成人。尽管整体依然保守且有大量显而易见的缺点，却能被细节上的恶趣味娱乐到。各色设定虽然简单直白却处处透露出“好邪恶好强大”的气息，在审查限制之内留出了颇为魔幻的臆想空间。国漫横向比较而言个人还是更喜欢《大鱼海棠》。
又又,2019-01-12,力荐,5,35,真好看啊啊啊啊，画风像仙剑，视觉像徐克，故事也很棒！好喜欢狐狸精哦，许仙也终于不再是文弱书生了。小青青好可怜哦沦为炮灰…好久没被这么俗套的爱情故事感动了…
无耻不混蛋,2019-01-12,还行,3,7,融合了动作、奇幻元素，让许仙与白娘子的传奇爱情，变成了动作奇幻大片。并融合了传统的中国特有的水墨动画晕染效果，总的来说，还是值得鼓励。
平成御宅,2019-01-17,推荐,4,11,肚兜是小白和阿宣的灯泡，阿宣是小白和小青的第三者。
连子glu,2019-01-14,力荐,5,28,这是我人生中第一个二刷的电影，喜欢的不得了
噜噜123,2019-01-14,还行,3,28,"剧情太莫名其妙了
小白和阿宣莫名其妙就上床了，上完床小白莫名其妙就要六亲不认离开阿宣，小白莫名其妙就要去屠村，师傅莫名其妙就要吸干所有徒弟的精元……"
Neroat,2019-01-22,推荐,4,8,制作非常精良，分镜很不错。剧情略微差一点，部分剧情突兀又狗血，结尾结得很漂亮。男主建模普通了点，还不如那个gay gay的道士，不过最后许仙能不能够剃掉下巴的胡子啊，设定是个年轻书生诶！感觉会有第二部。三星半，加半星以资鼓励。
書衣偵探華斯比,2019-01-16,力荐,5,6,今生情尽空悲切，来世再续未了缘。
茶底世界,2019-01-11,推荐,4,42,对于国漫，我一向都是不吝赞赏的，加油鼓劲并指出问题永远比单纯的谩骂有用，画面一流水准，制作精良，故事层面有所进步，致敬了不少经典，比起前三部来说算是不小的进步了，可是急于摆脱低幼的帽子又陷入了另一个怪圈，有些画面过于成人向，但故事并不成人向，应该来说是青少年向，还需要再加油，最后，祝收回成本，这一部成本看起来就很高昂，以我的了解，最少八千万吧（保守估计，希望比这低），追光坚持下去，记住你们的梦想，你们是要做中国皮克斯的公司，加油，加油。
zeroasd123,2019-01-11,推荐,4,28,国产3D动画的技术力，美术背景的渲染以及人物建模全都让人赏心悦目。导演真实腿控，各种大白腿，尤其是初见狐狸精老板娘那里极为惊艳。剧本上还真没怎么拖后腿，起承转合除了后面有点赶没啥毛病，但不得不说动画题材还是占了点便宜，可是近十年来大陆最好看的白娘子故事片居然是这个，那之前各种真人影视剧也有些丢脸吧。虽然是故事新编，但是将“爱”这个主题展现的还真不错，最后那幕我真的有点被感动了....
桃桃淘电影,2019-01-22,还行,3,8,以追光自己作品的角度，终于确实有提升，起码找对了方向，不再弄那些土洋结合，小孩子乱蹦的东西了。剩下的，就是更加丰富自己的故事了。
陆支羽,2019-01-12,还行,3,6,3.5。
森夏,2019-01-03,还行,3,27,画面和动作不错啦，有钱投资，追光动画就不能选个好本子么🤣，太网络文学了！很俗套，上来就失忆梗，人物情感进展突兀，整个故事太简单，很低智，一言不合就开打。人物没意思，台词太生硬。没什么新意，能看到很多同类作品的影子。最后一战蛇的形象想到了《龙之战》，但好得多打一会儿啊，危情紧张都没达到最高。此外剧情上还有好多瑕疵。还有不知道是不是甄嬛传留下来的坏毛病，现在古装剧的人都不好好讲话了，当然这个可能是我个人趣味。但最令我惊讶的是，这是部偏成人带色情化的动画电影。不是说情色低级，是处理的太低级，看的我鸡皮疙瘩直掉，不觉得美。床戏太突兀了，好尴尬。小青小白打廉价的姬情擦边球。
字母君,2019-01-08,推荐,4,17,"四星鼓励追光现在走的“徐克模仿秀”路线，结尾西湖竟把我感动出两滴老阿姨的眼泪。宝青坊像低配恶趣味版宫崎骏，打道士那场戏则脱胎自《龙门飞甲》客栈大战雨化田，纸人金鹤也像极了徐克会弄出来的东西，感觉是徐老怪拍了部仙剑。要是以后这种场面能再多点，追光把剧本写啥样我都认了。
许宣角色足够讨喜（但怕蛇的设定一半丢了），其他角色则全线写崩。动作设计比较浮夸（幸好连浮夸也是徐克那卦），剧本段落衔接仍然有问题：情感升温只建立在身体接触的基础上，一摸钟情，一啪定终生，好在不太致命。外观不那么低幼了，但内核还是天真的，不至于矫枉过正，大概这就是我一直对追光有好感的原因吧。
蛇怪的造型MH既视感太强，决战完全是白海龙和蛇帝龙打起来了啊，下意识想躲陨石、找补给箱……最后的法阵也像麻痹陷阱，国师其实是猎人村出身的吧？"
zitsunari,2019-01-19,还行,3,7,「共享共有，万流归元」这个口号的隐喻太明显了，前半句是表，后半句是里，影射的是级拳的实质，所以妖妇和道士之争，实际也就是xxx和xxx之争，无非妖在野而人掌拳，道士剿蛇固然残忍，当妖妇击败了道士，所作所为有过之而无不及。
于非,2019-01-15,很差,1,23,这么经典的神话故事就不能好好写前传吗？还吸星大法？就不能好好奋斗、踏踏实实修炼吗？还有小青，是怎么从形神俱灭阵中出来的？少有的几幕水墨画运用的不好，很突兀跟整体画风差别太大，像是穿越到另一部片子。配音配乐太嫩，渔舟合唱简直尴尬死。
Howe,2019-01-05,还行,3,21,似乎想讲很多东西但每一样又都没讲好，节奏有些乱，感情也有的生硬，很多台词显得又装逼又多余。国师突然领盒饭，蛇妖头目突然又反转让人有的摸不着头脑。另外，香艳的元素有点过头，轮回转世等封建迷信元素也不可取。
河狸,2019-01-15,推荐,4,8,相比追光的前三部影片，本片在剧情和技术上并没有多少提高。不过因为成人向题材和大场面的缘故，所以豆瓣评分比前三部要高。
what'swilliam,2019-01-13,还行,3,6,3星半。水墨风果然还是国漫最华丽且难以复制的法宝。电影致敬了拍此题材无法绕过的两座大山《新白娘子传奇》和《青蛇》，尤其《青城山下白素贞》的旋律响起时，全场哼唱无人离场，有点感人。按理说动漫更容易塑造外型美到极致的形象，可本片中的女主形象总是让我分分钟感慨还是赵雅芝和王祖贤美，女主神似范文芳，男主像胡歌or佟梦实，小青gay里gay气的。斗法场面足够绚丽。剧本问题不小，“许仙”化身活力少年郎的想法很好，但总给人一种“色字当头的青春期少年看人家姑娘好看就一直跟着”之感，他一个捕蛇人怎么懂那么多的？猝不及防就床戏，还特么在佛塔里？猝不及防蛇王人设崩塌，男女主刚认识就谈理想，反派智商堪比草履虫。估计经费有限部分反派配角形象非常“网游”。很想去帮这部电影改改剧本。
tankry,2019-01-15,还行,3,4,看完之后还蛮开心，在比较有限的时间内呈现了一系列奇幻场景，且基本自洽，动作设计非常饱满，显然是有很扎实的技术功底的。虽然在文本上没什么野心，但也能明显看到对青蛇中人物关系的致敬与解构，白蛇青蛇共浴的镜头设计完全复刻王祖贤张曼玉，真是惊喜。片尾断桥重见也非常心动，我还是很爱宝石山的。
瑞波恩,2019-01-17,推荐,4,8,算是这几年国漫的用心之作，画面五星，造型和场面四星，故事三星，煽情部分扣一星，总之看国漫与日漫或美漫的标准不一样，因为国漫充其量只是个幼稚的孩子在学习走路，本片揉杂了迪士尼《小美人鱼》与吉卜力《千与千寻》，生搬硬套的嫌疑不小，但成效整体超预期，有惊喜，也有遗憾，老套的煽情，片尾的《新白娘子传奇》音乐又莫名其妙，而从彩蛋看来还会有《白蛇：后传》，野心不小，最后成佛或成魔，可以期待一二。
人五,2019-01-16,推荐,4,9,是好看的，看哭了。
深夜声咽,2019-01-14,推荐,4,11,中午场，没想到还挺多人的，只是我又迟到了，四十分钟手动捂脸表情，从师父说师父说什么进场，几乎错过一半了，罪过罪过，感觉自己近来越来越不尊重电影了对不起！不过片子感觉真不错(加深愧疚感)，没有错过洞穴吻戏船戏斗法，肉感做得不错，小白.腰..侧乳…不错不错看得蛮羞耻的喜欢…如果有续集：缘灭，一定好好继续支持走起。那只汪哈哈哈可爱，小青有点小失控，男猪最会找生门，生门一说指阴道。今晚我必须恢复跑步了。
海哈哈,2019-01-12,还行,3,6,"人生在世，苦多乐少，所以要记住经历过的美好。或许就是因为先有了这句话，才有了这个故事，可也正是因为太想要表达这个主旨，导致故事很假，人为雕琢的痕迹极强。前五分钟，画风精美，水墨画融合山水，让人一下子沉浸在故事里，可是随着倒叙剧情的开始，故事就开始走偏，为了剧情的矛盾冲突，导致人物情感极其淡薄，以至于两人在塔内相拥入眠，显得极其突兀。中间往后的剧情，可以看到太多片子的影子，赵灵儿和李逍遥，锁妖塔，兑换宝物，倩女幽魂等等，让人出戏的同时，也明白创作者想表达的想法，但就是会太刻意。即便如此，看到这部片子，还是会觉得国漫依旧在进步，需要类似的推陈出新，鼓励。"
